canonical_code_id,canonical_code,raw_code_variants,count_segments_in_sample,count_reviews_in_sample,count_papers_in_sample,years_observed_in_sample,strength_count_in_sample,weakness_count_in_sample,full_review_count_in_sample,mean_review_score_in_sample,acceptance_rate_in_sample
CC008213,High-quality writing and thorough analysis,High-quality writing and thorough analysis,1,1,1,2024,1,0,0,3.0,0.0
CC008293,Hyper-parameter optimization,novel approach to hyper-parameter optimization,1,1,1,2022,0,0,1,5.0,1.0
CC008309,Hyperparameter tuning issues,Hyperparameter tuning difficulty,1,1,1,2025,0,1,0,8.0,1.0
CC008397,Illuminating analysis of double descent phenomenon,Illuminating analysis of double descent phenomenon,1,1,1,2022,0,0,1,5.0,0.0
CC008615,Important problem,Important problem; important-problem,2,2,2,2025,2,0,0,1.0,0.0
CC008751,Improved accuracy and robustness without architecture changes,Improved accuracy and robustness without architecture changes,1,1,1,2022,0,0,1,5.0,0.0
CC008761,Improved adversarial defense method,Effective adversarial defense method,1,1,1,2020,0,0,1,3.0,0.0
CC008857,Improved generalization through regularization,Effective regularization technique for improved generalization; Improved generalization through regularization,2,2,2,2020; 2021,0,0,2,4.0,0.0
CC008987,Improved theoretical analysis of double Q-learning,Improved theoretical analysis of double Q-learning; Introduction of a new Double Q-learning variant with improved performance,2,2,2,2021,0,0,2,5.5,0.0
CC009035,Improvement of batch normalization through skewness reduction,Proposed nonlinearity in batch normalization to reduce skewness,1,1,1,2020,0,0,1,3.0,0.0
CC009038,Improvement of regularization in meta-learning,Improvement of regularization in meta-learning,1,1,1,2021,0,0,1,4.0,0.0
CC009065,Improves accuracy-latency trade-off,Effective latency-accuracy trade-off; Improves accuracy-latency trade-off,2,2,2,2023; 2025,1,0,1,4.0,0.0
CC009118,In-depth exploration of lottery ticket hypothesis,In-depth exploration of lottery ticket hypothesis,1,1,1,2020,0,0,1,3.0,0.0
CC009222,Incomplete literature review,incomplete-literature-review,1,1,1,2025,0,1,0,1.0,0.0
CC009286,Incorporation of expert knowledge in Bayesian optimization,Incorporation of expert knowledge in Bayesian optimization; Novel method for incorporating expert knowledge in Bayesian Optimization,2,2,1,2021,0,0,2,7.0,0.0
CC009326,Incremental contribution and lack of novelty,Incremental contribution with limited novelty; Incremental contributions and limited novelty; Limited novelty and incremental contribution,3,3,3,2024,0,3,0,4.333333333333333,0.0
CC009327,Incremental contribution and limited applicability,Incremental contribution and limited applicability,1,1,1,2024,0,1,0,3.0,1.0
CC009434,Innovative 3D molecule generation approach,Innovative 3D molecule generation approach; Innovative approach to 3D molecular generation,2,2,2,2023; 2024,1,0,1,5.5,0.5
CC009578,Innovative GAN approach using quantile regression,Innovative GAN approach using quantile regression,1,1,1,2021,0,0,1,5.0,0.0
CC009720,Innovative MI gradient estimation approach,Innovative MI gradient estimation approach; Innovative MI gradient estimation model with strong experimental results,2,2,1,2020,0,0,2,4.5,1.0
CC009774,Innovative Neural Architecture Search approach,Innovative Neural Architecture Search approach,1,1,1,2020,0,0,1,3.0,0.0
CC009889,Innovative Transformer model with superior performance,Innovative Transformer model with superior performance,1,1,1,2024,1,0,0,3.0,0.0
CC009975,Innovative adversarial attack methods,Innovative attack method for adversarial examples; Innovative framework for adversarial defense,2,2,2,2020; 2022,0,0,2,4.5,0.0
CC009993,Innovative adversarial training approach,Innovative adversarial training approach; Innovative approach to adversarial training; novel approach to adversarial training,3,3,3,2020; 2022; 2023,0,0,3,5.666666666666667,1.0
CC010042,Innovative algorithm for synthetic data generation,Innovative synthetic data generation algorithm with empirical evaluations,1,1,1,2021,0,0,1,4.0,0.0
CC010055,Innovative algorithm with near-optimal regret,Innovative algorithm with near-optimal regret,1,1,1,2024,1,0,0,5.0,0.0
CC010084,Innovative algorithms with strong sample complexity,Innovative algorithms with strong sample complexity,1,1,1,2023,0,0,1,3.0,0.0
CC010101,Innovative analysis of SGD dynamics,Novel analysis framework for SGD dynamics,1,1,1,2022,0,0,1,8.0,1.0
CC010140,Innovative and effective message-passing approach,Innovative and effective message-passing approach,1,1,1,2024,1,0,0,5.0,0.0
CC010191,Innovative application of denoising diffusion models,Innovative application of denoising diffusion models,1,1,1,2023,0,0,1,6.0,1.0
CC010289,Innovative approach to GNN architecture,Innovative GNN architecture with clear presentation and rigorous experiments; Innovative GNN architecture with improved efficiency and interpretability,2,2,2,2020; 2021,0,0,2,5.5,0.5
CC010301,Innovative approach to OOD generalization,Innovative approach for OOD generalization,1,1,1,2022,0,0,1,3.0,0.0
CC010323,Innovative approach to adversarial robustness,Effective adversarial robustness approach; Need for robustness analysis and adversarial discussion; Novel approach to adversarial robustness; Novel insights and effective methods for adversarial robustness; thorough investigation of adversarial robustness,5,5,5,2021; 2022; 2024,2,1,2,6.4,0.4
CC010341,Innovative approach to catastrophic forgetting,Effective method for catastrophic forgetting; Innovative approach to mitigate catastrophic forgetting; Innovative solution to catastrophic forgetting with strong experimental results,3,3,3,2021; 2022; 2024,1,0,2,4.666666666666667,0.0
CC010343,Innovative approach to causal discovery,Encourages innovative approaches in causal discovery,1,1,1,2023,0,0,1,5.0,1.0
CC010350,Innovative approach to class imbalance,Innovative approach to class imbalance,1,1,1,2023,0,0,1,6.0,1.0
CC010409,Innovative approach to domain adaptation,Innovative domain adaptation method with improved performance,1,1,1,2020,0,0,1,3.0,0.0
CC010415,Innovative approach to dynamic graphs,Innovative approach to dynamic graphs,2,2,2,2024,2,0,0,4.0,0.5
CC010631,Innovative approach to prioritized experience replay,Innovative approach to prioritized experience replay; Thorough exploration of prioritized experience replay,2,2,1,2021,0,0,2,4.5,0.0
CC010703,Innovative approach to task-free continual learning,Innovative approach to task-free continual learning,1,1,1,2023,0,0,1,3.0,0.0
CC010724,Innovative approach to transformer efficiency,Innovative approach to transformer efficiency,1,1,1,2022,0,0,1,5.0,0.0
CC010737,Innovative approach to unsupervised 3D segmentation,novel unsupervised 3D segmentation approach,1,1,1,2021,0,0,1,6.0,1.0
CC010796,Innovative approach with comprehensive experiments,Innovative methodology with comprehensive experiments,1,1,1,2024,1,0,0,1.0,0.0
CC010831,Innovative approach with strong experimental results,Innovative approach with significant experimental results,1,1,1,2024,1,0,0,6.0,0.0
CC010832,Innovative approach with strong experimental validation,Innovative approach with strong experimental validation,1,1,1,2024,1,0,0,6.0,1.0
CC010838,Innovative approach with strong results,Innovative approach with promising results,2,2,2,2023; 2024,1,0,1,5.0,0.0
CC010850,Innovative approaches in federated learning,Effective federated learning method with strong results; Innovative strategies for federated learning; Novel approach to federated learning with theoretical validation; novel federated learning approach and clear experimental results,4,4,4,2020; 2023; 2024,1,0,3,5.25,0.5
CC010855,Innovative approaches to robust constrained MDPs,Novel integration of Robust and Constrained MDPs,1,1,1,2021,0,0,1,4.0,0.0
CC010977,Innovative benchmark for LLM reasoning,Contribution to advanced LLM reasoning benchmarks,1,1,1,2024,1,0,0,5.0,0.0
CC010980,Innovative benchmark for few-shot classification,Addresses a critical gap in few-shot classification benchmarks,1,1,1,2023,0,0,1,3.0,1.0
CC010988,Innovative benchmarks for continual learning,Innovative benchmarks for continual learning,1,1,1,2021,0,0,1,6.0,1.0
CC011115,Innovative combined dataset for LLM evaluation,Innovative combined dataset for LLM evaluation; Innovative dataset and methodology for LLM evaluation,2,2,2,2024,2,0,0,6.5,0.5
CC011335,Innovative deep learning approach for eigenvalue problems,Innovative deep learning approach for eigenvalue problems,1,1,1,2021,0,0,1,4.0,0.0
CC011359,Innovative denoising approach with promising results,Innovative denoising approach with promising results; Innovative denoising method with strong empirical results,2,2,2,2024,2,0,0,6.5,1.0
CC011411,Innovative disentangled representation learning,Innovative disentangled representation learning; Innovative hierarchical disentangled representation learning; novel approach to disentangled representation learning with hierarchical structure,3,3,3,2020; 2023,0,0,3,7.333333333333333,0.6666666666666666
CC011419,Innovative distillation method with strong results,Innovative distillation method with strong documentation and valid results; Innovative distillation method with strong results,2,2,2,2020; 2024,1,0,1,4.5,0.0
CC011511,Innovative energy-based model training approach,Innovative energy-based model training approach; Innovative training techniques for energy-based models,2,2,2,2020; 2021,0,0,2,5.5,0.0
CC011593,Innovative exploration method in Deep RL,Clear empirical study on exploration methods in deep RL; Effective exploration strategy in deep RL,2,2,2,2020; 2021,0,0,2,6.5,1.0
CC011596,Innovative exploration methods and empirical success,Innovative exploration algorithm with strong theoretical foundation,1,1,1,2020,0,0,1,1.0,0.0
CC011618,Innovative exploration strategy for sparse rewards,Innovative exploration strategy for sparse rewards; Innovative method for exploration in sparse reward environments,2,2,2,2020; 2021,0,0,2,3.5,0.0
CC011691,Innovative federated continual learning framework,Innovative approach to continual federated learning; Innovative federated continual learning framework,2,2,2,2021; 2023,0,0,2,6.5,0.5
CC011789,Innovative framework for continual learning,Effective continual learning approach with strong benchmark performance; Effective continual learning method with strong experimental design; Innovative approach to continual learning; Innovative continual learning approach with strong performance; Innovative continual learning method with improved performance,5,5,5,2020; 2021; 2023,0,0,5,4.6,0.2
CC011827,Innovative framework for optimization,Innovative framework for optimization,1,1,1,2024,1,0,0,3.0,1.0
CC011929,Innovative gradient-based meta-learning method,Innovative gradient-based meta-learning method; Innovative meta-learning approach using second order gradients,2,2,2,2020; 2021,0,0,2,5.0,0.5
CC011958,Innovative graph pooling methods proposed,Effective graph pooling methods with performance improvements; Innovative graph pooling approach with promising results; Innovative graph pooling methods proposed,3,3,2,2021,0,0,3,4.333333333333333,0.5
CC012047,Innovative hypothesis testing in RL,Innovative hypothesis testing in RL,1,1,1,2021,0,0,1,3.0,0.0
CC012280,Innovative learnable activation function,Innovative learnable activation function,1,1,1,2020,0,0,1,6.0,1.0
