year,venue,paper_id,review_id,segment_id,segment_type,segment_hash,paper_decision,review_score,review_confidence,raw_open_code,canonical_code,canonical_code_id,split,source_available_from,code_model,moderator_model
2024,ICLR.cc,iyMixbK9M2,ICLR.cc/2024/Conference/Submission5843/Reviewer_g5rm,seg_4cf183acc8d6e1dd,weakness,9b410c9710ac684689d77400f974d1e3be5399829857678b7ed4a1db77650a49,Reject,3.0,,Lack of analysis and benchmark experiments,Lack of experiments and benchmarks,CC016894,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,o7BwUyXz1f,ICLR.cc/2024/Conference/Submission2524/Reviewer_u4tG,seg_4b50e85b229165e9,strength,5a3fa894fa428904e369f8b909d2e956f79abffe1daf7b1b1beb75e726ffe8b6,Reject,5.0,,well-written and organized,Well-written and organized,CC027628,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,hB7SlfEmze,ICLR.cc/2024/Conference/Submission6250/Reviewer_7zzf,seg_876ce9d835e2eb1a,strength,ed23c8e1759883042ee13cd0ce79bdf9330b6916ca56c3f6b8e993a800dcef5c,Accept (poster),6.0,,novel method with strong performance,Novel method with strong performance,CC032143,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,GxmltrqVNn,ICLR.cc/2024/Conference/Submission2463/Reviewer_C3QZ,seg_2c2e686ba36dabbe,weakness,68da26bb0a8ba358b57c6862f58d3e245ff8c79815cb5e81dfebf25bf732c055,Reject,3.0,,Limited experimental validation and comparison,Limited experimental validation and comparison,CC017921,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,A0DI5v6m8O,ICLR.cc/2024/Conference/Submission7067/Reviewer_7Vbx,seg_01dd2e99f096a868,strength,4a1332c1590365b277dc4527b62ae2eb5f10c39d694da5d1ac84d42ea8e56614,Reject,6.0,,Strong writing and thorough analysis,Strong writing and thorough analysis,CC025238,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,UHjE5v5MB7,ICLR.cc/2024/Conference/Submission8168/Reviewer_4cwR,seg_d707372bf01a55ba,weakness,486619b4a230f8bd845b2b33e4b16f0a821fb4129b523f812709fa0e709bf412,Accept (poster),5.0,,Lack of novelty and depth in analysis,Lack of novelty and depth in analysis,CC017071,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,B1liraVYwr,ICLR.cc/2020/Conference/Paper536/AnonReviewer3,seg_87fe611b30914236,full_review,c1048c513d866ad167006441fc2d93547f24bfe315020fc766b3a0e8c79530b4,Reject,1.0,,Innovative GAN training model with improved stability,Challenges in GAN training stability,CC000969,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,EGQBpkIEuu,ICLR.cc/2024/Conference/Submission5345/Reviewer_BeKW,seg_9efaa29ae27a5c62,weakness,2fbd9cc6bd950d3129a9ca06535b58efa5edce49cad86eb370461206a61b21e3,Accept (poster),6.0,,Lack of clarity in algorithm's novelty and analysis,Clarity and novelty of algorithm,CC001116,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,sbG8qhMjkZ,ICLR.cc/2025/Conference/Submission5180/Reviewer_Dq3R,seg_9d99b6d522b60a93,weakness,4e4786e29852f0206a2bd13036d69318b0e51bcf7bfa4b7f87ead12a6a0f2de4,Accept (Oral),8.0,,notation\_clarity\_issues,Poor notation clarity,CC022143,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,zkGxROm7D3,ICLR.cc/2025/Conference/Submission7611/Reviewer_sBeJ,seg_6aecb2230df8f86e,weakness,d0a55b3e9412416cd34bbb88048288a3f9cd5f1751c88983ee37afac66d173ad,Reject,8.0,,inconsistent-benchmark,Inconsistent benchmark,CC030178,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,5qK0RActG1x,ICLR.cc/2021/Conference/Paper1036/AnonReviewer2,seg_1fedb8806ae9c745,full_review,69593565bf274ed49d590235cac93d9e412ae05ff963b9056bc80ac6d3cccc67,Reject,5.0,,Innovative evaluation method for model interpretability,Innovative methods for model interpretability,CC012644,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,sOdeh2WJL2,ICLR.cc/2025/Conference/Submission6268/Reviewer_WyTq,seg_d491d3075034e43a,strength,4c6e72a9a9ccb86e8af0d9c8f6cc5595b6e8abd5013f86873a0f68a6930b2e56,Reject,1.0,,important-problem,Important problem,CC008615,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,EJka_dVXEcr,ICLR.cc/2023/Conference/Paper1779/Reviewer_d279,seg_1407b26909789aad,full_review,af0bd8ca4a58b4ef266c9a7b35083b70600dbd27caa3f58b6d4b02b797c8c395,Reject,1.0,,well-structured paper,Well-structured paper,CC027524,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,HyeX7aVKvr,ICLR.cc/2020/Conference/Paper443/AnonReviewer3,seg_7af135ab9d561254,full_review,19f35ec5ebb0edd89f33f4dfc31856e161cc586ec8b7883a458c457e471abcb0,Reject,3.0,,Innovative zero-shot learning approach,Innovative zero-shot learning approach,CC014465,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,Jep2ykGUdS,ICLR.cc/2022/Conference/Paper1979/Reviewer_4Lh6,seg_50fab2fc569a6be8,full_review,4764cb9b515ca7846da4363b0ff7ee7d605130a06b9cd0e7628033bcd37d48df,Reject,6.0,,novel approach to uncertainty estimation,Novel uncertainty estimation method,CC021404,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,aOBs18ycBr,ICLR.cc/2023/Conference/Paper5387/Reviewer_mxPp,seg_e4e2ff8171bc3264,full_review,b0d27e36cb85ddd4a69087c2cb173a95ba43a92e5e07cad55c9aa03deeec91f0,Reject,3.0,,Clear writing and strong research question,Clear writing and strong research question,CC002802,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,Unz9zYdjTt,ICLR.cc/2024/Conference/Submission5479/Reviewer_hsUT,seg_f51cb8cef53860e4,weakness,4729c124eb7c8f053747c0d8da3ab6a65d7147626665f6e5aeedfb9b3ca651d9,Reject,5.0,,Insufficient method clarity and justification,Lack of clarity in method explanation,CC016473,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,aaYBsuGRne,ICLR.cc/2024/Conference/Submission4423/Reviewer_MUGa,seg_e6ae96637486cef2,weakness,dbc41dc576e8fb56d4ca9da2be04e0e942624c494abef582a32d9b0fda24eff9,Reject,5.0,,Lack of rigor in theoretical framework,Lack of rigor in theoretical framework,CC017236,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,5oJlyJXUxK,ICLR.cc/2024/Conference/Submission5402/Reviewer_39mA,seg_083efd17aee9f66e,strength,c5c29d917eba1ad74aa28e37aea38962cbac2845d55d5232e91adc85f7bcdc2a,Reject,8.0,,"Originality, Quality, and Significant Contribution","Originality, Quality, and Significant Contribution",CC021908,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,Z7OWaSze0V,ICLR.cc/2024/Conference/Submission3010/Reviewer_Pmes,seg_2b88101f54684a5b,weakness,bc1ff20a388edc7d8d18821fa31d847ef1bc5074feb55889c11696d8d17f8004,Reject,5.0,,Lack of clarity in problem formulation and methodology,Unclear problem formulation,CC016518,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,eW5R4Cek6y6,ICLR.cc/2022/Conference/Paper4393/Reviewer_1WB7,seg_850d61b8823467bf,full_review,afabfc144935a6e850c21433fc7e034711acbb4a3e2faffcabaf7037e2599fab,Accept (Spotlight),8.0,,well-written and convincing results,Well-written and convincing results,CC027593,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,z4g0Vpf5Zki,ICLR.cc/2023/Conference/Paper614/Reviewer_Si75,seg_d84efbe1a5947f96,full_review,f9af3d55eb411eade7d1c318c936f5bcba0389a138529b08a654ae5a0e07968c,Reject,8.0,,Clear presentation and robust empirical investigation,Clear presentation and robust empirical evaluation,CC002031,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,-jTaz3CMk72,ICLR.cc/2023/Conference/Paper762/Reviewer_fPjQ,seg_359805bf733e0624,full_review,af46436b2620dc395d5fe8b1d5df9f45d11969c29f942e688e5cf1d0e6b1cc0f,Accept: poster,6.0,,Well-organized and well-written paper,Well-organized and well-written paper,CC027432,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,n6H86gW8u0d,ICLR.cc/2023/Conference/Paper4254/Reviewer_qYko,seg_51e2a31aa1338c02,full_review,021a19928009bbe5cafea03e3490b1b90c0f6a5459d09edaa4cdf12b3bc45a0a,Accept: poster,5.0,,Thorough analysis and consistent empirical results,Thorough empirical analysis,CC034157,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,PVJ6j87gOHz,ICLR.cc/2022/Conference/Paper3155/Reviewer_8AHL,seg_7b78ef232e6e2e83,full_review,85f59b49b2f979926cd56741921fd8cae4a9dab99f37bd2dca2f643d3d3edae2,Accept (Poster),6.0,,Lack of clarity in novelty and contributions,Lack of novelty and clarity in methodology,CC017055,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,u4RVksX8co,ICLR.cc/2025/Conference/Submission10306/Reviewer_9RTX,seg_cc82221e31ac6a91,strength,4e166c0992e7c59e4977b3aa6a94ff8ce4b1ed6bfc021ebd85dd8043ff03fc47,Reject,3.0,,baselines comparison,Insufficient baseline comparisons,CC014690,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,tVNZj27pb3,ICLR.cc/2025/Conference/Submission7383/Reviewer_FivT,seg_db4d518942ba699e,weakness,efbf32d703ca0d18cb87bf861e04a38fcd9abcdc037c03cc247dabafa1d68973,Reject,3.0,,unclear_concepts,Unclear concepts,CC026529,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,dV19Yyi1fS3,ICLR.cc/2021/Conference/Paper630/AnonReviewer4,seg_f704dda3f618fe38,full_review,e063b56fd03cde67361416096c7b7b79a34dfac1c9623d63dea1f2cf89d0452a,Accept (Poster),10.0,,Innovative quantization method with strong experimental support,Innovative quantization techniques and theoretical insights,CC013329,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,LnxviiZ1xi,ICLR.cc/2024/Conference/Submission5291/Reviewer_x5r2,seg_2c54178e00c5349a,weakness,0d0246c914e32dd83786f7037dc8e7d0d1fd1f2af1f22a36cd9c6ed8bd1f9928,Reject,3.0,,Methodological clarity issues,Methodological concerns and clarity issues,CC018685,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,Tb3ZJBDF7aA,ICLR.cc/2023/Conference/Paper3898/Reviewer_UBXw,seg_461ca3a7193b7907,full_review,f6f594363667aeffb3d8f0d2aa0300167b51c1bb2fbf2d17b5c90e54bb7a2739,Reject,5.0,,Novel application of diffusion model,Novel diffusion model,CC020423,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,HklsthVYDH,ICLR.cc/2020/Conference/Paper90/AnonReviewer2,seg_96a570c1ee458e71,full_review,2bd148c13cd10c2e7fe21eeb8d7f66b8a4cc7ff9a3a91d19023a86386be50605,Reject,3.0,,Effective adversarial defense method,Improved adversarial defense method,CC008761,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,S1evHerYPr,ICLR.cc/2020/Conference/Paper2289/AnonReviewer2,seg_275c83cd8eea6338,full_review,606c59d2bfd6d118e237435b6a28a1a4ec6edfdb3ffe880432b3ecd7bf8c7ab3,Accept (Spotlight),6.0,,Novel meta reinforcement learning algorithm with focus on meta-generalization,Novel meta reinforcement learning algorithm with focus on meta-generalization,CC020817,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2020,ICLR.cc,BJewlyStDr,ICLR.cc/2020/Conference/Paper1510/AnonReviewer1,seg_11d95f86028bd4dd,full_review,0abc9862a15d9ee850de621f749eff40843f2cd1d28fd81d0b5cd64ada5c62ae,Accept (Poster),6.0,,Clear empirical study on exploration methods in deep RL,Innovative exploration method in Deep RL,CC011593,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,G1DoOVM3xZ,ICLR.cc/2024/Conference/Submission7007/Reviewer_rQVV,seg_1cd0586e7da67172,weakness,0c7609444e961cc06883dffa66d3599bd37b7371cc08488f58f94940ba05b062,Reject,5.0,,Lack of technical novelty and clarity,Lack of technical novelty and clarity,CC017289,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2023,ICLR.cc,-HHJZlRpGb,ICLR.cc/2023/Conference/Paper160/Reviewer_kDRU,seg_25de0468688149a0,full_review,d15272f2d6d572ae519999948ea656a05503e79455d33da26aee16ce85a55ca1,Accept: poster,8.0,,Clear motivation and structure; relevant evaluations and ablation studies,Clear motivation and contributions; thorough ablation study,CC001705,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,SHUQtRK0eU,ICLR.cc/2024/Conference/Submission6779/Reviewer_WKdp,seg_80851dda9a239762,weakness,8a1fa6665c0d213b587a32323080a4bc1ab67fbdf14d639173743bdc80fc4cd8,Reject,6.0,,Lack of clarity and rigor in writing and experiments,Lack of clarity and rigor in writing and experiments,CC016357,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,vl3F3s8OMg,ICLR.cc/2024/Conference/Submission4197/Reviewer_9qqP,seg_fc6076dab3353ed4,strength,87ff59069f070a265af4b8194535c180fd5f08e3a995fd3246ef8b44688495f8,Reject,3.0,,Strong motivation and clear methodology,Strong motivation and clear methodology,CC024878,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,5T46w5X3Go,ICLR.cc/2024/Conference/Submission7587/Reviewer_6fkR,seg_2e61f22e6390a76a,strength,d9aaaeeea3a3a13b5853b5be2a7bed778a8e53036f3d6bb1a184230075e229a7,Reject,8.0,,Original theoretical contributions in transfer learning,Theoretical contributions to transfer learning,CC025711,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,vf5M8YaGPY,ICLR.cc/2025/Conference/Submission11878/Reviewer_h7zt,seg_d9397bb0554296bb,weakness,1289b8e9118f1ae3fe13efe81b81ce5c7bf0aed7cd1ffccf82c628d63a0bd221,Reject,3.0,,**Weak evaluation**,Weak evaluation,CC034836,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,FM5xfcaR2Y,ICLR.cc/2024/Conference/Submission6102/Reviewer_in91,seg_5d70853c41011008,strength,666014a6fa4766f9acafc60a415f323ef4b189f37e517c5a66842386d7be57fc,Accept (spotlight),8.0,,Novel approach to fairness in ML,Novel approach to fairness in ML,CC019989,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2021,ICLR.cc,ABZSAe9gNeg,ICLR.cc/2021/Conference/Paper2382/AnonReviewer2,seg_896400b7f264ec77,full_review,0aca91281b39e2d1d843f59921e9b18347f33a44bcfd662a33ac04f2cb82ea9e,Reject,4.0,,Innovative synthetic data generation algorithm with empirical evaluations,Innovative algorithm for synthetic data generation,CC010042,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,7HfliVAtCG,ICLR.cc/2024/Conference/Submission313/Reviewer_Jjnu,seg_e5b1dba1e6165860,weakness,8374541b946d92864831a7de560932562b1f247c6a8207c5ef7717ade0d8f0cc,Reject,6.0,,Lack of clarity and unfair comparisons,Lack of clarity and fairness in comparisons,CC016277,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2024,ICLR.cc,E2ePtpKJpy,ICLR.cc/2024/Conference/Submission1901/Reviewer_dXyt,seg_b934ae03796afa02,weakness,5e00b36c4134eeff107aa2f978a80953f3f84b18526ca0f420f265dcfe2c4074,Reject,5.0,,Insufficient experimental rigor,Insufficient experimental rigor,CC014806,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2022,ICLR.cc,a7H7OucbWaU,ICLR.cc/2022/Conference/Paper80/Reviewer_gA5x,seg_279d8fd461681d8a,full_review,5a12cac304b4622523a601c1e6f8062e1fe8a5aa5e2112c0f5d3464b4370111b,Accept (Poster),6.0,,Clear motivation and extensive experiments,Clear motivation and effective experiments,CC001716,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,wQEdh2cgEk,ICLR.cc/2025/Conference/Submission730/Reviewer_qfhZ,seg_188ef5a3454f9fb9,weakness,47cac37171b99c0580da080684f3f0d7e0f3f76ae8f14a34fff4d1dbe9e748c0,Accept (Poster),8.0,,No weaknesses found.,No identified weaknesses,CC019480,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,ys3eqxzkeN,ICLR.cc/2025/Conference/Submission8347/Reviewer_YaTr,seg_dd4f850b9f46c9a6,strength,ec4d303068e7f8c81e9da52b16c028dbf3a614ced9e922a226a2cff3f1b80a24,Reject,3.0,,method clarity,Method clarity,CC031138,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
2025,ICLR.cc,xoIeVdFO7U,ICLR.cc/2025/Conference/Submission1383/Reviewer_eNEc,seg_9f3b126921451660,weakness,fb7a5cf69de733cd1d083e4bd361b9a63fc72ec892f4f64c52b06ae94d882c14,Accept (Oral),8.0,,scalability concerns,Scalability concerns,CC033447,quality_curated_public_sample,OpenReview,Qwen2.5-7B-Instruct; Mistral-7B-Instruct-v0.2; Zephyr-7B-beta,Mixtral-8x7B-Instruct-v0.1
